Gender,Seniorcitizen,Partner,Dependents,Tenure,Phoneservice,Mult Lines,Int Service,Onlinesecurity,Onlinebackup,Deviceprotection,Techsupport,Streamingtv,Streamingmovies,Contract,Paperlessbilling,Pay Method,Monthlycharges,Totalcharges,Has_Streaming,OnlineExtras,StreamingExtras,Cluster
1,0,0,0,0.254715372338644,1,0,1,0,0,1,0,0,0,0,1,2,0.7467462654298939,0.44070994134242714,0,1,0,3
1,1,1,0,0.5409344555306974,1,0,1,0,1,1,0,1,1,0,1,2,0.8974544601521144,0.6824697236538904,1,2,2,1
0,1,1,0,0.19268474081439926,1,0,1,0,0,0,1,1,0,0,1,3,0.8145105936497836,0.4327113638786571,1,1,1,3
1,1,0,0,0.8716213630607225,1,0,0,1,0,1,0,0,1,1,0,1,0.6589918218288674,0.8150109492649993,1,2,1,0
1,1,0,0,0.0,0,1,0,0,0,0,0,0,0,0,1,2,0.17016944950734814,0.047104923556463174,0,0,0,3
0,0,1,0,0.5409344555306974,1,2,1,0,1,1,0,1,0,0,0,2,0.8757712950321689,0.6795134361200749,1,2,1,2
0,0,1,1,0.254715372338644,1,0,2,0,0,0,0,0,0,0,0,3,0.058154961679610866,0.228421054415542,0,0,0,3
0,0,1,1,0.0,0,1,0,1,0,0,0,0,0,0,0,0,0.2742131687058939,0.07886430778830851,0,1,0,1
1,1,0,0,0.11271334783759884,1,0,0,1,0,0,0,0,0,0,1,2,0.5300699174439626,0.25720934489032676,0,1,0,3
1,0,0,0,0.8396337785951014,1,2,1,0,1,1,0,1,1,0,1,1,0.9317441303567183,0.875134367999506,1,2,2,2
0,1,0,0,0.4980828294663973,1,0,1,0,1,0,0,1,1,0,1,2,0.8808538258019434,0.6662070001858732,1,1,2,1
1,0,0,0,0.0,1,0,2,0,0,0,0,0,0,0,1,2,0.044872086104495966,0.008857856475416743,0,0,0,3
1,0,0,1,0.0,1,2,1,0,0,1,0,1,1,0,1,2,0.9069050442442698,0.2719937396307546,1,1,2,2
1,0,1,0,0.8948002263060865,1,2,0,1,0,1,1,1,1,1,0,2,0.8173667648335382,0.8760402765736293,1,3,2,0
1,0,1,0,0.6665796848022654,1,2,1,0,1,1,1,1,1,0,1,2,0.9649251819440909,0.7846526234016998,1,3,2,0
1,0,1,1,0.8185108119262328,0,1,0,1,1,1,0,0,0,0,0,0,0.42165664858361973,0.7081172376214382,0,3,0,0
0,0,0,0,0.3853694816287984,1,2,1,0,0,0,0,0,0,0,1,2,0.7463848819561992,0.5383451211928988,0,0,0,4
1,0,0,0,0.5780542224431977,1,0,1,0,0,1,1,1,1,0,1,2,0.915401598459494,0.7195368056509492,1,2,2,1
0,0,0,0,0.11271334783759884,1,0,1,1,1,0,1,0,0,0,1,2,0.8292605006558093,0.36969031890913556,0,3,0,0
